id,time,latitude,longitude
ak0202j9b7v2,2020-02-24T18:06:19.520Z,62.184,-150.0814
ak0202ja3ixh,2020-02-24T19:38:26.772Z,63.0868,-151.4172
ak0202ja3zyb,2020-02-24T19:40:47.505Z,61.6787,-141.7791
ak0202ja4lre,2020-02-24T19:43:30.062Z,61.6443,-150.3367
ak0202ja7tn1,2020-02-24T19:58:52.057Z,61.4263,-139.9228
ak0202jaojpd,2020-02-24T20:36:34.579Z,67.4956,-166.1003
ak0202jb9ozd,2020-02-24T21:35:00.781Z,60.5169,-147.5619
ak0202jbvm91,2020-02-24T22:37:29.591Z,66.2877,-157.3912
ak0202km4azz,2020-02-25T00:04:06.238Z,60.8408,-151.2608
ak0202km76d0,2020-02-25T00:17:46.845Z,64.9335,-147.3569
ak0202kmpiqo,2020-02-25T01:03:04.426Z,59.6247,-152.5766
ak0202knkhbr,2020-02-25T02:47:33.468Z,50.6871,-173.3786
ak0202knmfc5,2020-02-25T02:56:56.659Z,63.9845,-148.1814
ak0202knn0nd,2020-02-25T02:59:32.430Z,61.5528,-146.2839
ak0202ko1kw2,2020-02-25T03:27:27.042Z,59.987,-151.4281
ak0202ko2ety,2020-02-25T03:31:15.101Z,61.6509,-151.3665
ak0202ko7zpa,2020-02-25T03:57:18.385Z,62.9874,-150.59
ak0202kosls9,2020-02-25T04:53:35.748Z,62.58,-149.4785
ak0202kpe2ly,2020-02-25T05:53:51.953Z,62.1297,-152.9486
ak0202kpu3kg,2020-02-25T06:28:26.869Z,65.4067,-149.9809
ak0202kpwagw,2020-02-25T06:38:51.628Z,60.7213,-151.5813
ak0202kqfzrh,2020-02-25T07:30:43.976Z,64.3399,-149.8039
ak0202kqirur,2020-02-25T07:43:41.054Z,63.0563,-150.3909
ak0202kqk0js,2020-02-25T07:49:20.388Z,68.072,-153.065
ak0202kqlj06,2020-02-25T07:56:30.322Z,61.1769,-146.9407
ak0202kqv6me,2020-02-25T08:01:30.144Z,62.0291,-147.9291
ak0202kr78rh,2020-02-25T08:57:59.307Z,63.2637,-149.7325
ak0202krnbf8,2020-02-25T09:32:51.902Z,60.3142,-152.8577
ak0202ks6ab9,2020-02-25T10:21:08.393Z,62.0814,-152.0817
ak0202ksrjnb,2020-02-25T11:20:26.153Z,61.9826,-147.8864
ak0202kuki7w,2020-02-25T14:23:34.058Z,60.6028,-150.8925
ak0202kwhq3m,2020-02-25T17:46:28.921Z,61.1004,-152.4323
ak0202kwxc8l,2020-02-25T18:19:14.131Z,61.542,-149.7589
ak0202kycv13,2020-02-25T20:59:52.552Z,66.2048,-157.193
ak0202kymajc,2020-02-25T21:03:52.240Z,62.2145,-150.1271
ak0202kyn9hs,2020-02-25T21:08:05.793Z,63.0945,-150.2392
ak0202kyq57p,2020-02-25T21:21:48.998Z,60.5878,-147.5932
ak0202kz7x53,2020-02-25T22:04:42.966Z,61.2043,-150.1574
ak0202kzj1yd,2020-02-25T22:56:36.938Z,61.576,-146.547
ak0202kzt24i,2020-02-25T23:03:05.355Z,61.5791,-146.6483
ak0202kzuroq,2020-02-25T23:11:03.600Z,61.6582,-146.5644
ak0202kzv3jc,2020-02-25T23:12:56.646Z,59.8597,-139.3371
ak0202kzvxxn,2020-02-25T23:16:50.673Z,61.6167,-146.5895
ak0202l04w7n,2020-02-25T23:58:27.389Z,62.2908,-149.9502
ak0202maei80,2020-02-26T01:29:35.048Z,62.9206,-149.2817
ak0202mair3j,2020-02-26T01:49:16.496Z,61.046,-152.3852
ak0202mb34de,2020-02-26T02:44:19.268Z,63.0547,-151.4621
ak0202mb41eh,2020-02-26T02:48:47.613Z,63.0042,-151.5482
ak0202mbk352,2020-02-26T03:23:35.107Z,61.7786,-149.6105
ak0202md7emf,2020-02-26T06:00:10.956Z,61.5513,-151.2813
ak0202mdfbmt,2020-02-26T06:37:05.413Z,63.446,-149.6491
ak0202mepez8,2020-02-26T08:52:09.710Z,63.234,-149.3941
ak0202mf2qg3,2020-02-26T09:14:24.140Z,66.3044,-157.361
ak0202mf3sll,2020-02-26T09:19:17.991Z,59.9764,-139.3537
ak0202mf6tot,2020-02-26T09:33:32.053Z,61.6578,-146.7633
ak0202mgabbb,2020-02-26T11:17:56.235Z,59.9965,-152.831
ak0202mgwy0j,2020-02-26T12:23:16.285Z,63.3832,-150.6484
ak0202mhf1dv,2020-02-26T13:07:56.512Z,64.4407,-149.8459
ak0202mhni1m,2020-02-26T13:47:04.901Z,61.931,-150.3386
ak0202mi4jp3,2020-02-26T14:26:58.456Z,60.089,-152.85
ak0202mi9t9j,2020-02-26T14:51:14.948Z,63.5976,-147.4726
ak0202minifp,2020-02-26T15:15:06.291Z,60.219,-152.6289
ak0202miv2eq,2020-02-26T15:50:30.731Z,63.4727,-146.0712
ak0202mj6syv,2020-02-26T16:05:07.276Z,63.4367,-147.4064
ak0202mkflzr,2020-02-26T18:14:11.918Z,64.8792,-147.2937
ak0202mknr1n,2020-02-26T18:52:10.039Z,61.8183,-149.5617
ak0202mkono3,2020-02-26T18:56:32.358Z,64.7294,-149.1535
ak0202mkzl0c,2020-02-26T19:07:29.678Z,67.4184,-147.59
ak0202ml7jlw,2020-02-26T19:44:44.941Z,63.0546,-150.4325
ak0202mlvzq6,2020-02-26T20:58:51.057Z,61.992,-149.1053
ak0202mmvbj5,2020-02-26T22:23:33.779Z,62.0221,-151.3505
ak0202mnmzsz,2020-02-26T23:52:45.768Z,62.8897,-152.2458
ak0202nxt55y,2020-02-27T01:07:37.721Z,62.159,-149.6346
ak0202nydr44,2020-02-27T02:03:53.277Z,60.5921,-152.2491
ak0202nyfv2e,2020-02-27T02:13:37.666Z,61.3219,-148.0746
ak0202nyh3h9,2020-02-27T02:19:12.868Z,60.6105,-151.7714
ak0202nyjvrj,2020-02-27T02:32:12.762Z,64.7488,-150.6406
ak0202nyz3ew,2020-02-27T03:03:10.481Z,61.4453,-146.6343
ak0202nyzcq6,2020-02-27T03:04:31.182Z,61.553,-149.9865
ak0202nyzi83,2020-02-27T03:05:03.893Z,60.1716,-151.5542
ak0202nz1jzo,2020-02-27T03:14:58.812Z,60.1245,-152.6835
ak0202nz6gmc,2020-02-27T03:37:48.498Z,58.2319,-155.2466
ak0202o05emc,2020-02-27T05:00:51.303Z,62.1616,-148.2509
ak0202o083ii,2020-02-27T05:13:06.989Z,62.6114,-151.3237
ak0202o0ct7t,2020-02-27T05:35:06.362Z,61.519,-150.5534
